Character	Alternate Names		Page	Role	Gender	Friendly															Hostile																	
Chapter 1 -- Pillow Talk																																						
Ailill Mac Mágach				"King of Connacht in Cruachan, a son of Rus Ruad"	M	Medb	Rus Ruad	Finnbennach Ai	Mata Muiresc	Finn 2	Coirpre Niafer	Mac Roth																										
Eochaid Bec						Medb																																
Mata Muiresc				"Ailill's mother, Mágach's daughter"	F	Ailill Mac Mágach	Mágach																															
Finnbennach Ai				The bull was part of Medb's herd but did not wish to be led by a woman so went to Ailill's herd	M	Ailill Mac Mágach	Medb																															
Mac Roth				A messenger of Medb	M	Medb	Ailill Mac Mágach	Dáire Mac Fiachna	Donn Cuailnge	Finnbennach Ai																												
Dáire Mac Fiachna				Owner of Donn Cuailnge	M	Donn Cuailnge	Mac Roth																															
Chapter 2 -- The Táin Bó Cuailnge begins																																						
Ailill Mac Mágach					M	Medb	Anluan Mac Mágach	Mugcorb Mac Mágach	Cet Mac Mágach	En Mac Mágach	Bascall Mac Mágach	Dóchae Mac Mágach																										
Medb					F	Ailill Mac Mágach	Cormac Connlongas	Fedelm 3	Fergus Mac Roich	Conchobor	Celtchar																											
Mágach				"Had 7 sons, one of them being Ailill Mac Mágach"		Ailill Mac Mágach	Anluan Mac Mágach	Mugcorb Mac Mágach	Cet Mac Mágach	En Mac Mágach	Bascall Mac Mágach	Dóchae Mac Mágach																										
Anluan Mac Mágach						Ailill Mac Mágach	Mágach	Mugcorb Mac Mágach	Cet Mac Mágach	En Mac Mágach	Bascall Mac Mágach	Dóchae Mac Mágach																										
Mugcorb Mac Mágach						Ailill Mac Mágach	Mágach	Anluan Mac Mágach	Cet Mac Mágach	En Mac Mágach	Bascall Mac Mágach	Dóchae Mac Mágach																										
Cet Mac Mágach						Ailill Mac Mágach	Mágach	Anluan Mac Mágach	Mugcorb Mac Mágach	En Mac Mágach	Bascall Mac Mágach	Dóchae Mac Mágach																										
En Mac Mágach						Ailill Mac Mágach	Mágach	Anluan Mac Mágach	Mugcorb Mac Mágach	Cet Mac Mágach	Bascall Mac Mágach	Dóchae Mac Mágach																										
Bascall Mac Mágach						Ailill Mac Mágach	Mágach	Anluan Mac Mágach	Mugcorb Mac Mágach	Cet Mac Mágach	En Mac Mágach	Dóchae Mac Mágach																										
Dóchae Mac Mágach						Ailill Mac Mágach	Mágach	Anluan Mac Mágach	Mugcorb Mac Mágach	Cet Mac Mágach	En Mac Mágach	Bascall Mac Mágach																										
Conchobor					M	Cormac Connlongas																																
Cormac Connlongas	Cormac 2			"Leader of the Ulster exiles, Conchobor's son"	M	Conchobor	Ailill Mac Mágach	Medb																														
Fedelm 3	Fedelma			A poet and prophetess of Connacht who prophetices that Medb's invasion would fail	F	Medb	Cúchulainn	Deda Mac Sin																														
Deda Mac Sin						Fedelm 3																																
Fergus Mac Roich				"Son of Roech Mac Echdach, grandson of Rus the king of kings, he is one of the Ulster exiles"	M	Roech Mac Echdach	Medb																															
Roech Mac Echdach						Fergus Mac Roich																																
Chapter 3 -- The army encounters Cúchulainn																																						
Medb					F	Ailill Mac Mágach	Fergus Mac Roich	Cormac Connlongas	Conall Cernach	Fiacha Mac Fir Febe	Finnabair	Flidais	Maine Máthramail	Maine Athramail	Maine Mórgor	Maine Míngor	Maine Móepirt	Maine Andoe	Maine Cotagaib Uli																			
Ailill Mac Mágach					M	Medb	Fergus Mac Roich	Cormac Connlongas	Conall Cernach	Fiacha Mac Fir Febe	Finnabair	Flidais	Maine Máthramail	Maine Athramail	Maine Mórgor	Maine Míngor	Maine Móepirt	Maine Andoe	Maine Cotagaib Uli		Conchobor	Celtchar	Eoghan Mac Durthacht															
Ailill Mac Mágach						Err	Innel	Foich	Fochlam																													
Fergus Mac Roich					M	Medb	Ailill Mac Mágach	Cormac Connlongas	Conall Cernach	Fiacha Mac Fir Febe	Finnabair	Flidais	Cúchulainn	Sualdam	Err	Innel	Foich	Fochlam	Conchobor																			
Fergus Mac Roich						Celtchar	Eoghan Mac Durthacht	Emer	Scáthach																													
Cormac Connlongas					M	Medb	Ailill Mac Mágach	Fergus Mac Roich	Conall Cernach	Fiacha Mac Fir Febe	Finnabair	Flidais																										
Conall Cernach				Ulster exile	M	Medb	Ailill Mac Mágach	Fergus Mac Roich	Cormac Connlongas	Fiacha Mac Fir Febe	Finnabair	Flidais																										
Fiacha Mac Fir Febe				"The son of Conchobor's daughter, also an Ulster exile"	M	Medb	Ailill Mac Mágach	Fergus Mac Roich	Cormac Connlongas	Conall Cernach	Finnabair	Flidais																										
Finnabair				Daughter of Medb and Ailill	F	Medb	Ailill Mac Mágach	Fergus Mac Roich	Cormac Connlongas	Conall Cernach	Fiacha Mac Fir Febe	Flidais																										
Flidais					F	Medb	Ailill Mac Mágach	Fergus Mac Roich	Cormac Connlongas	Conall Cernach	Fiacha Mac Fir Febe	Finnabair																										
Celtchar																					Ailill Mac Mágach																	
Eoghan Mac Durthacht																					Ailill Mac Mágach																	
Maine Máthramail				The Motherlike	M	Medb	Ailill Mac Mágach																															
Maine Athramail				The Fatherlike	M	Medb	Ailill Mac Mágach																															
Maine Mórgor				The strongly dutiful	M	Medb	Ailill Mac Mágach																															
Maine Míngor				The sweetly dutiful	M	Medb	Ailill Mac Mágach																															
Maine Móepirt	Maine Milscothach			Of the honeyed speech	M	Medb	Ailill Mac Mágach																															
Maine Andoe				The swift	M	Medb	Ailill Mac Mágach																															
Maine Cotagaib Uli				"The Maine with all the qualities, who took the likeness of his mother and father, and the dignity of both"	M	Medb	Ailill Mac Mágach																															
Dubthach					M	Medb	Ailill Mac Mágach	Nemain																														
Nemain				"A war-spirit, she assailed the Connacht army after Dubthach chanted during the Táin."	F	Dubthach																																
Cúchulainn					M	Sualdam	Fergus Mac Roich	Fedelm Noichride					Laeg								Err	Innel	Foich	Fochlam														
Sualdam					M	Cúchulainn	Fergus Mac Roich																															
Fedelm Noichride				Cúchulainn told Sualdam to warn Ulster because he had promised to spend the night with Fedelm	F	Cúchulainn																																
Err				One of the four sons of Urard Mac Anchinne	M	Innel	Foich	Fochlam	Urard Mac Anchinne	Medb	Fergus Mac Roich		Ailill Mac Mágach								Cúchulainn																	
Innel				One of the four sons of Urard Mac Anchinne	M	Err	Foich	Fochlam	Urard Mac Anchinne	Medb	Fergus Mac Roich		Ailill Mac Mágach								Cúchulainn																	
Foich				"One of the four sons of Urard Mac Anchinne, charioteer of Err"	M	Err	Innel	Fochlam	Urard Mac Anchinne	Medb	Fergus Mac Roich		Ailill Mac Mágach								Cúchulainn																	
Fochlam				"One of the four sons of Urard Mac Anchinne, charioteer of Innel"	M	Err	Innel	Foich	Urard Mac Anchinne	Medb	Fergus Mac Roich		Ailill Mac Mágach								Cúchulainn																	
Urard Mac Anchinne				Had four sons who were among the first Cúchulainn killed during the Táin	M	Err	Innel	Foich	Fochlam																													
Laeg					M	Cúchulainn																																
Conchobor					M	Ailill Mac Mágach																																
Celtchar					M	Ailill Mac Mágach																																
Eoghan Mac Durthacht					M	Ailill Mac Mágach																																
Chapter 4 -- Cúchulainn's boyhood deeds																																						
Fergus Mac Roich					M	Cúchulainn	Conchobor	Cúchulainn	Ailill Mac Mágach	Medb	Conall Cernach	Cúscraid Menn Macha																										
Cúchulainn					M	Deichtine	Fergus Mac Roich	Conchobor	Sualdam	Bricriu		Cúscraid Menn Macha	Conall Cernach	Culann	Cathbad	Ibor 3					Follamain	Badb 1	Nechta Scéne	Foill	Fannall	Tuachell												
Conchobor					M	Follamain	Cúchulainn	Deichtine	Sualdam	Cúscraid Menn Macha	Culann	Cathbad	Ibor 3								Eoghan Mac Durthacht																	
Follamain				"Conchobor's son, part of the boy-troop in Ulster when Cúchulainn joined"	M	Conchobor															Cúchulainn																	
Eoghan Mac Durthacht					M																Conchobor																	
Cúscraid Menn Macha	Cúscraid Menn			"The Stammerer, son of Conchobor"	M	Conchobor	Cúchulainn	Fergus Mac Roich																														
Bricriu						Cúchulainn																																
Badb 1					F																Cúchulainn																	
Conall Cernach					M	Cúchulainn	Fergus Mac Roich	Culann	Ailill Mac Mágach	Medb	Ibor 3																											
Culann				An Ulster smith who owned a savage hound	M	Conchobor	Cúchulainn	Cathbad																														
Cathbad				Gave Sétanta the name Cúchulainn	M	Conchobor	Cúchulainn	Culann																														
Fiacha Mac Fir Febe					M	Cúchulainn	Cathbad	Conchobor	Ibor 3	Mughain 4																												
Ibor 3				Conchobor's Charioteer	M	Conchobor	Cúchulainn														Nechta Scéne	Foill	Fannall	Tuachell														
Nechta Scéne				"Mother of Foill, Fannall and Tuachell who say they have killed as many Ulstermen as are now living"	F	Fer Ulli	Foill	Fannall	Tuachell												Cúchulainn	Ibor 3																
Fer Ulli				"Son of Lugaid and father of Foill, Fannall and Tuachell. Ulstermen killed him so his sons were at enmity with him"	M	Lugaid 6	Nechta Scéne	Foill	Fannall	Tuachell																												
Lugaid 6						Fer Ulli																																
Foill				"The deceitfulness, son of Fer Ulli and Nechta Scéne"	M	Fer Ulli	Nechta Scéne	Fannall	Tuachell												Cúchulainn	Ibor 3																
Fannall				"The Swallow, son of Fer Ulli and Nechta Scéne"	M	Fer Ulli	Nechta Scéne	Foill	Tuachell												Cúchulainn	Ibor 3																
Tuachell				"The Cunning, son of Fer Ulli and Nechta Scéne"	M	Fer Ulli	Nechta Scéne	Foill	Fannall												Cúchulainn	Ibor 3																
Mughain 4				"Wife of Conchobor, she was sent out with the women of Emain Macha naked to calm Cúchulainn down from his battle fever"	F	Conchobor	Cúchulainn																															
Chapter 5 -- Death Death!																																						
Ailill Mac Mágach					M	Orlám	Fertedil	Maine 2	Maenén												Cúchulainn																	
Cúchulainn					M																Fraech Mac Fidaig	Orlám	Baiscne	Fertedil	Lon Mac Gárach	Uala Mac Gárach	Diliu Mac Gárach	Meslir	Meslaech	Meslethan	Ailill Mac Mágach	Medb	Maine 2	Maenén	Lethan	Lochu		
Medb					F	Fraech Mac Fidaig		Orlám	Fertedil	Lochu											Cúchulainn																	
Fraech Mac Fidaig				"Medb sent him to challenge Cúchulainn, Cúchulainn defeated him and offered to spare him but he told him he wouldn't have that so Cúchulainn drowned him"	M	Medb															Cúchulainn																	
Fergus Mac Roich					M																																	
Baiscne				A young hound belonged to Medb that Cúchulainn killed withh a sling		Medb															Cúchulainn																	
Orlám				A son of Ailill and Medb who Cúchulainn beheaded	M	Ailill Mac Mágach	Medb	Fertedil													Cúchulainn																	
Fertedil				Orlám's charioteer who Cúchulainn killed with his sling after returning Orlám's head to Ailill and Medb eventhough he promised not to kill him saying he'd no problem with charioteers	M	Orlám	Ailill Mac Mágach	Medb	Cúchulainn												Cúchulainn																	
Gárach				"Had three sons, Lon, Uala and Diliu who Cúchulainn killed during the Táin"	M	Lon Mac Gárach	Uala Mac Gárach	Diliu Mac Gárach	Meslir	Meslaech	Meslethan																											
Lon Mac Gárach				"The blackbird, son of Gárach"	M	Gárach	Uala Mac Gárach	Diliu Mac Gárach	Meslir	Meslaech	Meslethan										Cúchulainn																	
Uala Mac Gárach				"The prideful, son of Gárach"	M	Gárach	Lon Mac Gárach	Diliu Mac Gárach	Meslir	Meslaech	Meslethan										Cúchulainn																	
Diliu Mac Gárach				"The torrent, son of Gárach"	M	Gárach	Lon Mac Gárach	Uala Mac Gárach	Meslir	Meslaech	Meslethan										Cúchulainn																	
Meslir				Charioteer of one of the sons of Gárach	M	Gárach	Lon Mac Gárach	Uala Mac Gárach	Diliu Mac Gárach	Meslaech	Meslethan										Cúchulainn																	
Meslaech				Charioteer of one of the sons of Gárach	M	Gárach	Lon Mac Gárach	Uala Mac Gárach	Diliu Mac Gárach	Meslir	Meslethan										Cúchulainn																	
Meslethan				Charioteer of one of the sons of Gárach	M	Gárach	Lon Mac Gárach	Uala Mac Gárach	Diliu Mac Gárach	Meslir	Meslaech										Cúchulainn																	
Maine 2				One of the seven Maine who was killed with Cúchulainn's sling	M	Ailill Mac Mágach	Medb	Maenén													Cúchulainn																	
Maenén				A jester Cúchulainn killed with his sling	M	Ailill Mac Mágach	Maine 2														Cúchulainn																	
Lethan				"Some Connacht warrior annoyed at Cúchulainn, Cúchulainn cut off his head"	M	Mulca															Cúchulainn																	
Mulca				Lethan's charioteer	M	Lethan																																
Morrígan					F	Donn Cuailnge																																
Donn Cuailnge					M	Forgaimen	Morrígan																															
Forgaimen				Donn Cuailnge's herdsman	M	Donn Cuailnge																																
Lochu				A maid of Medb who Cúchulainn mistook for Medb and killed her with a sling	F	Medb															Cúchulainn																	
Reuin			Page 96																		Cúchulainn																	
Chapter 6 -- From Finnabair Chuailnge to Conaille																																						
Medb					F	Lóthar	Donn Cuailnge	Uala	Ailill Mac Mágach	Fergus Mac Roich	Maine 2																											
Lóthar				"A herdsman of Medb was asked where he thought Donn Cuailnge might be when the Connacht army couldn't find him at Cuailnge, Donn Cuailnge killed him when he was found"	M	Medb															Donn Cuailnge																	
Donn Cuailnge					M																Lóthar																	
Uala				"The river Cronn rose up against the Connacht army, Medb ordered Uala to try to cross it but the river overwhelmed him and he drowned"	M	Medb																																
Cúchulainn					M					Laeg				Lugaid Mac Nois	Fergus Mac Roich						Cronn	Caemdele	Roan	Roae	Maine 2	Cuillius												
Cronn				Cúchulainn killed him as he tried to cross the river Cronn (same name as person) in heroic fury		Medb	Caemdele														Cúchulainn																	
Caemdele				Cúchulainn killed him as he tried to cross the river Cronn in heroic fury		Medb	Cronn														Cúchulainn																	
Roan				"One of the two chroniclers of the Táin in the Connacht army, they were both killed at the river Cronn by Cúchulainn in heroic fury"		Medb	Roae														Cúchulainn																	
Roae				"One of the two chroniclers of the Táin in the Connacht army, they were both killed at the river Cronn by Cúchulainn in heroic fury"		Medb	Roan														Cúchulainn																	
Ailill Mac Mágach					M	Medb	Fergus Mac Roich	Cuillius	Maine 2	Lugaid Mac Nois																												
Fergus Mac Roich					M	Medb	Ailill Mac Mágach	Macha	Nes	Lugaid Mac Nois																												
Roech Mac Echdach																																						
Rus																																						
Cuillius				"Ailill's charioteer who Ailill asked to spy on Medb and Fergus as he didn't trust them, Cuillius found them sleeping together and stole Fergus' sword to give to Ailill as a sign, he was later killed by a sling from Cúchulainn"	M	Ailill Mac Mágach	Fergus Mac Roich	Medb																														
Maine 2					M	Ailill Mac Mágach	Medb	Fergus Mac Roich													Cúchulainn	Cúchulainn																
Laeg					M	Cúchulainn																																
Lugaid Mac Nois	Lugaid Mac Nois Allchomaig			"He went to Cúchulainn asking him to spare his men, Cúchulainn said he would and spare Fergus' men too"	M	Cúchulainn	Fergus Mac Roich	Ailill Mac Mágach																														
Chapter 7 -- Single Combat																																						
Cúchulainn					M	Laeg	Mac Roth	Conchobor	Fergus Mac Roich		Ailill Mac Mágach	Medb	Lugaid Mac Nois		Fiacha Mac Fir Febe						Etarcomol	Nadcranntail																
Ailill Mac Mágach					M	Cúchulainn	Mac Roth	Fergus Mac Roich	Medb	Maine 2	Lugaid Mac Nois																											
Mac Roth					M	Ailill Mac Mágach	Medb	Fergus Mac Roich	Laeg	Cúchulainn																												
Fergus Mac Roich					M	Cúchulainn	Mac Roth	Ailill Mac Mágach	Etarcomol		Nadcranntail	Fiacha Mac Fir Febe																										
Laeg					M	Cúchulainn	Mac Roth	Fergus Mac Roich	Etarcomol	Nadcranntail																												
Etarcomol				"Son of Eda and Léthrenn, foster-son of Ailill and Medb, he went with Fergus to discuss the terms of single combat with Cúchulainn, Fergus didn't want him to go with him as he described him as proud and insolent, while meeting Cúchulainn he said he'd be the first to meet him in single combat, Cúchulainn split him from his head to his naval"	M	Eda	Léthrenn	Fergus Mac Roich			Medb	Ailill Mac Mágach									Cúchulainn																	
Eda						Etarcomol	Léthrenn																															
Léthrenn						Etarcomol	Eda																															
Medb					F	Fergus Mac Roich	Etarcomol	Ailill Mac Mágach	Maine 2	Lugaid Mac Nois	Cúchulainn	Cúroi Mac Dáire	Nadcranntail																									
Lugaid Mac Nois				Lugaid went to Cúchulainn telling him who would be fighting him the next day in single combat	M	Cúchulainn	Maine 2	Ailill Mac Mágach	Nadcranntail																													
Maine 2					M	Ailill Mac Mágach	Lugaid Mac Nois		Medb																													
Cúroi Mac Dáire				"A warrior of Munster who marched with the Connacht army, he refused to go into single combat with Cúchulainn saying he had done enough for Connacht by sending his men with them"	M	Medb	Ailill Mac Mágach	Cúchulainn																														
Nadcranntail				"Medb's second choice of warriors to fight Cúchulainn in single combat after Cúroi refused, Nadcranntail said he would only do it if Medb gave him his daughter Finnabair"	M	Medb	Ailill Mac Mágach		Finnabair	Maine Andoe											Cúchulainn																	
Maine Andoe					M	Medb	Ailill Mac Mágach	Nadcranntail	Finnabair																													
Finnabair				Medb and Ailill's daughter who was promised to whoever defeated Cúchulainn in single combat	F	Medb	Ailill Mac Mágach	Nadcranntail																														
Fiacha Mac Fir Febe					M	Fergus Mac Roich	Cúchulainn	Nadcranntail																														
Chapter 8 -- The Bull is found																																						
Medb					F	Gabrán	Ailill Mac Mágach	Cúr Mac Daláth	Ferbaeth	Finnabair											Finnmór																	
Ailill Mac Mágach					M	Buide Mac Báin	Redg	Medb	Fergus Mac Roich	Lugaid Mac Nois	Ferbaeth	Finnabair	Gabrán																									
Cúchulainn					M	Fergus Mac Roich		Morrígan	Gabrán	Fiacha Mac Fir Febe	Lugaid Mac Nois	Ferbaeth	Scáthach	Laeg							Buide Mac Báin	Redg	Nathcoirpthe	Cruithen	Marc	Meille	Badb 3	Boguine	Cúr Mac Daláth	Láth Mac Dabró	Foirc Mac trí n-Aignech	Srúbgaile Mac Eobith	Ferbaeth	Láréne Mac Nois	Morrígan	Lóch Mac Mofemis	Long Mac Mofemis	
Buide Mac Báin				"One of Ailill's men who found the bull, Cúchulainn slew him with a spear"	M	Ailill Mac Mágach	Forgaimen														Cúchulainn																	
Forgaimen						Buide Mac Báin																																
Redg				"Ailill's satarist who was asked to get Cúchulainn's javelin, Cúchulainn threw it through his head"	M	Ailill Mac Mágach															Cúchulainn																	
Nathcoirpthe				"Cúchulainn killed him in Cuib, near the trees that are named after him"	M																Cúchulainn																	
Cruithen				"Cúchulainn killed him in Cuib, in the ford that bears his name"	M																Cúchulainn																	
Marc				Cúchulainn killed him in Cuib on his hillock	M																Cúchulainn																	
Meille				Cúchulainn killed him in Cuib on his hill	M																Cúchulainn																	
Badb 3				Cúchulainn killed him in Cuib in his tower	M																Cúchulainn																	
Boguine				Cúchulainn killed him in Cuib in his marsh	M																Cúchulainn																	
Finnmór				"Wife of Celtchar Mac Uthidir, Medb attacked her and captured 50 of her women"	F	Celtchar															Medb																	
Celtchar						Finnmór																																
Forgaimen				"Donn Cuailnge's herdsman, he was killed trying to escape with Donn Cuailnge, they drove the herd after him and he was trampled to death"	M	Donn Cuailnge																																
Cúr Mac Daláth				"He was the second warrior sent to fight Cúchulainn in single combat, when he drew blood from a man, that man died in nine days at the latest. Medb said he would be no loss as it is no pleasure to be near him. Cúchulainn threw an apple through his head."	M		Medb	Cormac Connlongas													Cúchulainn																	
Cormac Connlongas					M	Cúr Mac Daláth																																
Fiacha Mac Fir Febe					M	Cúchulainn	Cúr Mac Daláth	Ferbaeth																														
Fergus Mac Roich					M	Cúr Mac Daláth	Cúchulainn	Cormac Connlongas	Fiacha Mac Fir Febe	Ferbaeth	Ailill Mac Mágach	Long Mac Mofemis	Bricriu																									
Láth Mac Dabró				The third warrior to fight Cúchulainn in single combat	M																Cúchulainn																	
Foirc Mac trí n-Aignech				"Descendent of the three Swift Ones, he was the fourth to fight Cúchulainn in single combat"	M																Cúchulainn																	
Srúbgaile Mac Eobith				The fifth warrior to fight Cúchulainn in single combat	M																Cúchulainn																	
Laeg					M	Cúchulainn	Lugaid Mac Nois	Finnabair																														
Lugaid Mac Nois					M	Laeg	Cúchulainn	Ferbaeth	Finnabair	Ailill Mac Mágach																												
Ferbaeth				"A comrade of Cúchulainn and Lugaid who also trined with Scáthach, he agreed to fight Cúchulainn in single combat for Finnabair, Cúchulainn threw a piece of split holly at him piercing the back of his head and came out his mouth"	M	Finnabair	Medb	Ailill Mac Mágach	Cúchulainn	Scáthach	Fiacha Mac Fir Febe										Cúchulainn																	
Finnabair					F	Ferbaeth	Medb	Ailill Mac Mágach																														
Láréne Mac Nois				"Brother of Lugaid and described as a vainglorious man, Lugaid asked Cúchulainn not to kill him, he is said to be the only man Cúchulainn left alive in the Táin, though forever after he couldn't empty his bowels, he was never free from chest pains and couldn't eat without groaning."	M	Lugaid Mac Nois	Finnabair	Medb	Ailill Mac Mágach												Cúchulainn																	
Morrígan				"Appears to Cúchulainn as a young woman of noble figure claiming to be king Buan's daughter, he refuses her and she says she'll hinder him"	F	King Buan	Cúchulainn														Cúchulainn																	
King Buan						Morrígan																																
Lóch Mac Mofemis				"He was asked to fight Cúchulainn but refused to fight a boy, his brother, Long, was sent and killed, Cúchulainn wore a fake beard and then Lóch fought him, Morrígan aided him but Cúchulainn still defeated him. It seems he too was trained by Scáthach too (check)"	M	Long Mac Mofemis	Medb	Ailill Mac Mágach		Morrígan	Scáthach	Gabrán									Cúchulainn																	
Long Mac Mofemis				"He fought Cúchulainn after his brother Lóch refused, his body was brought back to Long"	M	Lóch Mac Mofemis	Medb	Ailill Mac Mágach													Cúchulainn																	
Gabrán				A poet who prophecised there would be a great stampede across the ford where Cúchulainn and Lóch Mac Mofemis were to fight.		Lóch Mac Mofemis	Cúchulainn	Medb	Ailill Mac Mágach																													
Bricriu					M	Lóch Mac Mofemis	Cúchulainn	Fergus Mac Roich																														
Chapter 9 -- The Pact is Broken																																						
Medb					F	Ailill Mac Mágach	Cúchulainn	Lugaid Mac Nois	Traigthrén 2																													
Ailill Mac Mágach					M	Medb	Cúchulainn	Lugaid Mac Nois	Finnabair	Tamun	Fergus Mac Roich										Follamain																	
Cúchulainn					M	Lugaid Mac Nois	Medb	Ailill Mac Mágach	Traigthrén 2	Laeg	Nemain	Lug Mac Ethenn	Follamain	Conchobor							Fota	Bómailce	Salach	Muinne	Luar	Fertóithle	Traig	Dornu	Dernu	Col	Mebul	Eraise	Tamun	Finnabair				
Lugaid Mac Nois					M	Medb	Ailill Mac Mágach	Cúchulainn	Finnabair																													
Traigthrén 2				"The strong of foot, a messenger of Medb sent to offer Cúchulainn a false offer of peace and to meet Medb unarmeed"	M	Medb	Cúchulainn	Laeg																														
Laeg					M	Cúchulainn	Traigthrén 2	Lug Mac Ethenn																														
Fergus Mac Roich					M	Cúchulainn	Ailill Mac Mágach																															
Fota				"A warrior Cúchulainn killed in single combat, the field he was killed in is now named after him"	M																Cúchulainn																	
Bómailce				"A warrior Cúchulainn killed in single combat, the ford he was killed at is now named after him"	M																Cúchulainn																	
Salach				"A warrior Cúchulainn killed in single combat, the marsh he was killed at is now named after him"	M																Cúchulainn																	
Muinne				"A warrior Cúchulainn killed in single combat, the hill he was killed on is now named after him"	M																Cúchulainn																	
Luar				A warrior Cúchulainn killed in single combat in Luar Lethbera	M																Cúchulainn																	
Fertóithle				A warrior Cúchulainn killed in single combat in Tóitli	M																Cúchulainn																	
Traig				"Foot, a druid Cúchulainn slew on the near side of the ford of Tír Mór"	M	Dornu	Dernu	Col	Mebul	Eraise											Cúchulainn																	
Dornu				"Fist, a druid Cúchulainn slew on the near side of the ford of Tír Mór"	M	Traig	Dernu	Col	Mebul	Eraise											Cúchulainn																	
Dernu				"Palm, a druid Cúchulainn slew on the near side of the ford of Tír Mór"	M	Traig	Dornu	Col	Mebul	Eraise											Cúchulainn																	
Col				"Lust, wife of one of the three druids Cúchulainn slew on the near side of the ford of Tír Mór"	F	Traig	Dornu	Dernu	Mebul	Eraise											Cúchulainn																	
Mebul				"Shame, wife of one of the three druids Cúchulainn slew on the near side of the ford of Tír Mór"	F	Traig	Dornu	Dernu	Col	Eraise											Cúchulainn																	
Eraise				"Nothingness, wife of one of the three druids Cúchulainn slew on the near side of the ford of Tír Mór"	F	Traig	Dornu	Dernu	Col	Mebul											Cúchulainn																	
Finnabair					F		Tamun														Cúchulainn																	
Tamun				"The Stump, the fool of Ailill who he sent to dress up as him and give Finnabair to Cúchulainn, Cúchulainn knew by his speech he was a fool and knocked out his brains with his sling"	M	Finnabair															Cúchulainn																	
Nemain						Cúchulainn																																
Lug Mac Ethenn					M	Cúchulainn	Laeg																															
Fiachna Fuilech				"The Bloodspiller, brother of Fiacha Fialdána Mac Fir Febe, a member of the boy-troop of Ulster who suggested they aid Cúchulainn"	M	Fiacha Mac Fir Febe	Cúchulainn	Follamain																														
Follamain	Follamain Mac Conchoboir			"Conchobor's son, led the boy-troop, he was killed by the two sons of Bethe Mac Báin, Ailill's foster-mother and foster-father"	M	Fiachna Fuilech	Cúchulainn	Conchobor													Ailill Mac Mágach																	
Bethe Mac Báin				"Ailill's foster-father, he had two sons who killed Follamain Mac Conchoboir during the Táil"	M	Ailill Mac Mágach																																
Simon Magus				"Some say he made a feather mantle for Darius king of the Romans who in turn gave it to Conchobor, Conchobor gave it to Cúchulainn who gave it to Laeg"	M	Darius																																
