Character	Alternate Name	Page	Role	Gender	Friendly										Hostile									Familial						
Darius King of the Romans		185		M	Simon Magnus																									
Two Crúaids		189		M											Cú Chulainn															
Two Calads		189		M											Cú Chulainn															
Two Círs		189		M											Cú Chulainn															
Two Cíars		189		M											Cú Chulainn															
Two Ecells		189		M											Cú Chulainn															
Three Croms		189		M											Cú Chulainn															
Three Cauraths		189		M											Cú Chulainn															
Three Combirges		189		M											Cú Chulainn															
Four Feochars		189		M											Cú Chulainn															
Four Furachars		189		M											Cú Chulainn															
Four Cass		189		M											Cú Chulainn															
Four Fotas		189		M											Cú Chulainn															
Five Cauraths		189		M											Cú Chulainn															
Five Cermans		189		M											Cú Chulainn															
Five Cobthachs		189		M											Cú Chulainn															
Six Saxans		189		M											Cú Chulainn															
Six Dáchs		189		M											Cú Chulainn															
Six Daíres		189		M											Cú Chulainn															
Seven Rochaids		189		M											Cú Chulainn															
Seven Rónáns		189		M											Cú Chulainn															
Seven Rúrthechs		189		M											Cú Chulainn															
Eight Rochlads		189		M											Cú Chulainn															
Eight Rochtads		189		M											Cú Chulainn															
Eight Rindachs		189		M											Cú Chulainn															
Eight Cairpres		189		M											Cú Chulainn															
Eight Mulachs		189		M											Cú Chulainn															
Nine Daigiths		189		M											Cú Chulainn															
Nine Dáires		189		M											Cú Chulainn															
Nine Dámachs		189		M											Cú Chulainn															
Ten Fiacs		189		M											Cú Chulainn															
Ten Fíachas		189		M											Cú Chulainn															
Ten Fedelmids		189		M											Cú Chulainn															
Chapter 38: The Description of Cú Chulainn																														
Cú Chulainn	Cú Chulainn mac Súaltaim	189		M											Medb									Conchobar						
Medb		189		F																										
Dubthach Dóel Ulad		190		M	Medb										Fíacha	Coirpre								Lugaid mac Casruba						
Fergus mac Róich		191		M	Medb	Dubthach Dóel Ulad																		Cú Chulainn						
Fíacha		191	"Conchobar's son, killed by Dubthacht"	M																										
Conchobar		191		M																										
Coirpre		191	Killed by Dubthacht	M											Dubthach Dóel Ulad									Fedelmid						
Fedelmid		191	Father of Coirpre	M																										
Lugaid mac Casruba		191	Dbthach's father	M																				Dubthach Dóel Ulad						
Ailill		192		M	Medb	Fergus mac Róich																								
Chapter 39: The Mis-throw at Belach Eóin																														
Fíacha Fíaldána Dimraith		192		M																										
Maine Andóe		192	Son of Fiacha's mother's sister	M																				Fíacha Fíaldána Dimraith						
Dócha mac Mágach		192		M											Fíacha Fíaldána Dimraith															
Dubthach Dóel Ulad		192		M											Fíacha Fíaldána Dimraith															
Diarmait mac Conchobair		192	Maine and Diarmut killed eachother	M											Maine Andóe									Conchobar						
Conchobar		192		M																										
Ailill		192		M	Medb	Diarmait mac Conchobair	Maine Andóe																							
Medb		192		F	Diarmait mac Conchobair	Maine Andóe																								
Black Bull		193		M	Medb	Ailill																								
Chapter 40: The Death of Taman the Jester																														
Ailill		193	"Puts his crown onn the jester, Cuchulainn kills the jester"	M																										
Taman the Jester		193		M	Ailill																									
Cú Chulainn	Cú Chulainn mac Súaltaim	193		M											Taman the Jester															
Chapter 41: The Death of Óengus mac Óenláime																														
Óengus mac Óenláime Gaibe		193	Stoned by the armu	M																										
Lugmod Army		193		M											Óengus mac Óenláime Gaibe															
Chapter 42: The Meeting of Fergus and Cú Chulainn																														
Cú Chulainn	Cú Chulainn mac Súaltaim	193		M											Ailill									Fergus mac Róich						
Fergus mac Róich		193	Refuses to go to kill Cuchulainn	M	Ailill																									
Ailill		194		M																										
Thirteen of Ailill's Men		194	"Sent to ambush Cuchulainn, he kills them all"	M											Cú Chulainn															
Chapter 43: The Fight with Mand																														
Medb		194		F																										
Mand Muresci		194	"Son of Daire, sent to fight Cuchulainn, Fer Diad's brother and Daman's brother"	M	Medb	Dubthach Dóel Ulad	Munremar mac Errcind	Triscod							Cú Chulainn									Dáire of the Domnannaig	Damán	Fer Diad				
Dáire of the Domnannaig		194	Mand Muresci's father	M																										
Cú Chulainn		194	Kills Mand	M	Fíacha mac Fir Fhebe																			Conchobar						
Damán		194		M																										
Fer Diad		194		M																				Damán						
Dubthach Dóel Ulad		194	Compared to Mand	M																										
Munremar mac Errcind		194	Compared to Mand	M																										
Triscod		194	"Conchobar's strongman, compared to Mand"	M																										
Conchobar		194		M	Triscod																									
Láeg	Láeg mac Ríangabra	194		M	Cú Chulainn																									
Gaile Dáne		195	"Twenty-seven sons and sisters sons, attacked Cuchulainn"	M											Cú Chulainn	Fíacha mac Fir Fhebe														
Fíacha mac Fir Fhebe		195	Killed the twenty-seven men	M																										
Two sons of Ficce		195	Helped Cuchulainn to kill people	M	Cú Chulainn																									
Chapter 44: The Fight of Fer Diad and Cú Chulainn																														
Cú Chulainn		195	Hears that Fer Dias will be sent to fight him	M																				Fer Diad						
Fer Diad	Fer Diad mac Damáin	195	Cuchulainn's foster brother	M																										
Medb	Medb of Mag in Scáil	195		F	Fer Diad																									
Ailill		195		M	Medb	Fer Diad																								
Finnabair		196		F	Fer Diad																			Medb	Ailill					
Fergus mac Róich	Fergus mac Róig	198	Refuses to go to kill Cuchulainn	M	Ailill	Fer Diad																		Cú Chulainn						
