Character	Alternate Name	Page	Role	Gender	Friendly										Hostile									Familial						
Cú Chulainn	Cú Chulainn mac Súaltaim	193		M											Ailill									Fergus mac Róich						
Fergus mac Róich		193	Refuses to go to kill Cuchulainn	M	Ailill																									
Ailill		194		M																										
Group of Ailill's Warriors sent to Ambush Cu Chulainn		194	"Sent to ambush Cuchulainn, he kills them all"	M	Ailill										Cú Chulainn															
Chapter 43: The Fight with Mand																														
Medb		194		F																										
Mand Muresci		194	"Son of Daire, sent to fight Cuchulainn, Fer Diad's brother and Daman's brother"	M	Medb	Dubthach Dóel Ulad	Munremar mac Errcind	Triscod							Cú Chulainn									Dáire of the Domnannaig	Damán	Fer Diad				
Dáire of the Domnannaig		194	Mand Muresci's father	M																										
Cú Chulainn		194	Kills Mand	M	Fíacha mac Fir Fhebe																			Conchobar						
Damán		194		M																										
Fer Diad		194		M																				Damán						
Dubthach Dóel Ulad		194	Compared to Mand	M																										
Munremar mac Errcind		194	Compared to Mand	M																										
Triscod		194	"Conchobar's strongman, compared to Mand"	M																										
Conchobar		194		M	Triscod																									
Láeg	Láeg mac Ríangabra	194		M	Cú Chulainn																									
Gaile Dáne		195	"Twenty-seven sons and sisters sons, attacked Cuchulainn"	M											Cú Chulainn	Fíacha mac Fir Fhebe														
Fíacha mac Fir Fhebe		195	Killed the twenty-seven men	M																										
Two Sons of Ficce		195	Helped Cuchulainn to kill people	M	Cú Chulainn																									
Chapter 44: The Fight of Fer Diad and Cú Chulainn																														
Cú Chulainn		195	Hears that Fer Dias will be sent to fight him	M																				Fer Diad						
Fer Diad	Fer Diad mac Damáin	195	Cuchulainn's foster brother	M																										
Medb	Medb of Mag in Scáil	195		F	Fer Diad																									
Ailill		195		M	Medb	Fer Diad																								
Finnabair		196		F	Fer Diad																			Medb	Ailill					
Fergus mac Róich	Fergus mac Róig	198	Refuses to go to kill Cuchulainn	M	Ailill	Fer Diad																		Cú Chulainn						
Fergus' Charioteer		198		M	Fergus mac Róich																									
Láeg	Láeg mac Ríangabra	198		M	Cú Chulainn	Fergus mac Róich																								
Emer Fholtchaín		201	Cuchulainn spent night with Emer before fight with Fer Diad	F	Cú Chulainn																									
Fer Diad's Charioteer		202		M	Fer Diad																									
Germán Garbglas		203	Charioteer recites a story of Cuhculainn and Fer Diad fighting German	M											Fer Diad	Cú Chulainn														
"Chapter 45: A description of Cú Chulainn's chariot, one of the three principal chariots in story-telling, on the Foray of Cúailnge"																														
Fer Diad	Fer Diad mac Damáin	204	Cuchulainn's foster brother	M																										
Fer Diad's Charioteer		204		M	Fer Diad																									
Cú Chulainn		204		M											Fer Diad															
Mac Roth		208	Chased after Cuchulainn and Fer Diad during their battle	M	Cú Chulainn	Fer Diad																								
Chapter 46: The Chief Episodes of the Táin																														
																														
Chapter 47: The Hard Fight of Cethern																														
Mac Roth		209	Chased after Cuchulainn and Fer Diad during their battle	M																										
Ailill		209		M	Medb										Cethern															
Fergus mac Róich	Fergus mac Róig	209		M	Ailill										Cethern															
Cethern		209	Son of Fintan	M																				Fintan						
Fintan		209		M																										
Cú Chulainn		209	Cethern came from attacking Ailill's camp to Cuchulainn	M	Cethern																			Conchobar						
Láeg	Láeg mac Ríangabra	209		M	Cú Chulainn	Cethern																								
Fiacha mac Fir Fhebe		209		M	Láeg	Cú Chulainn	Cethern																							
Fíngin		209	Physician	M	Cethern	Conchobar																								
Conchobar		209		M																										
Medb		210		F	Ailill										Cethern															
Illann		210	Son of Fergus	M											Cethern									Fergus mac Róich						
Oll		210	Foster sons of Ailill and Medb	M											Cethern									Ailill	Medb					
Oichne		211	Foster sons of Ailill and Medb	M											Cethern									Ailill	Medb	Oll				
Bun		211	Kings household warriors	M											Cethern															
Mecon		211	Kings household warriors	M											Cethern															
King of Caill		211		M	Bun	Mecon																								
Bróen		211	Warriors of Medb's household	M	Medb										Cethern															
Láiréne		211	Warriors of Medb's household	M	Medb										Cethern															
3 Warriors of Banba		211		M	Cú Raí mac Dáire										Cethern															
Cú Raí mac Dáire	Cú Roí mac Dáire	211		M																										
Scenb		211		M	Ailill	Medb									Cethern															
Rand		211		M	Ailill	Medb									Cethern															
Fodail		211		M	Ailill	Medb									Cethern															
Three Fráech Baíscnes		212	Medb's tableservants	M	Medb										Cethern															
Cormac Colomon ind Ríg		212		M											Cethern									Cormac Maíle Ogath						
Cormac Maíle Ogath		212		M											Cethern															
Maine Aithremail		212		M											Cethern									Maine Máithremail						
Maine Máithremail		212		M											Cethern															
Maine Condasgeb Uile		212	Ailill's son	M											Cethern									Ailill						
Chapter 48: The Tooth-Fight of Fintan																														
Fintan		214		M	Ailill																									
Ailill		214		M																										
Cethern		214	Son of Fintan	M	Ailill																			Fintan						
Conchobar		214		M	Fintan																									
Chapter 49: The Red Shame of Mend																														
Mend mac Sálchada		214	Killed his own men	M																										
Chapter 50: The Bloodless Fight of Rochad																														
Rochad Rigderg mac Faithemain		214		M																										
Ailill		214		M	Medb																									
Medb		214		F																										
Finnabair		214	"There was a large-scale battle to take revenge for seven men all being offered Finnabair, she died of shame"	F	Rochad Rigderg mac Faithemain																			Medb	Ailill					
